tp,fp,fn,tn,precision,recall,f_measure,mcc,new_proteins
107,4,2,17091,0.963963963963964,0.981651376146789,0.9727272727272728,0.9725924966376379,"['MEOX2', 'MYC', 'NME2P1', 'SRC']"
53,0,0,17151,1.0,1.0,1.0,1.0,[]
49,1,0,17154,0.98,1.0,0.98989898989899,0.9899206401513844,['CUL1']
50,0,1,17153,1.0,0.9803921568627451,0.99009900990099,0.9901186820120693,[]
167,6,3,17028,0.9653179190751445,0.9823529411764705,0.9737609329446064,0.9735347439935444,"['ATXN1', 'CUL3', 'GRB2', 'HTT', 'LMO2', 'MEOX2']"
83,0,6,17115,1.0,0.9325842696629213,0.9651162790697675,0.9655347992027632,[]
68,3,0,17133,0.9577464788732394,1.0,0.9784172661870503,0.9785595567824963,"['ARR3', 'HSCB', 'IQCB1']"
129,8,1,17066,0.9416058394160584,0.9923076923076923,0.9662921348314606,0.9663660874484549,"['APP', 'AQP6', 'CAND1', 'CEP83', 'CUL1', 'ETS1', 'HSPA5', 'PPP1CA']"
56,1,6,17141,0.9824561403508771,0.9032258064516129,0.9411764705882352,0.9418101691022914,['ALX1']
69,5,0,17130,0.9324324324324325,1.0,0.965034965034965,0.9654845147736606,"['HSCB', 'IQCB1', 'MEOX2', 'SQSTM1', 'ZDHHC17']"
219,33,13,16939,0.8690476190476191,0.9439655172413793,0.9049586776859504,0.9043997006040548,"['ALB', 'APP', 'ATXN1', 'BRCA1', 'COPS5', 'CUL1', 'CUL3', 'CYP2A7', 'CYSRT1', 'EP300', 'FN1', 'GOPC', 'GRB2', 'H1-2', 'H2BC21', 'HSCB', 'HSP90AB1', 'HTT', 'LMNA', 'LYNX1', 'MAPK6', 'MEOX2', 'NEK4', 'NPM1', 'PLAU', 'SNW1', 'TEX101', 'TMEM17', 'UBE2I', 'UBQLN1', 'UBQLN2', 'VCAM1', 'YWHAG']"
68,0,0,17136,1.0,1.0,1.0,1.0,[]
274,30,17,16883,0.9013157894736842,0.9415807560137457,0.9210084033613445,0.9198464521002634,"['APP', 'ATXN1', 'CAND1', 'CDC5L', 'COPS5', 'CREBBP', 'CUL1', 'CUL3', 'FASLG', 'GRB2', 'HSCB', 'HSP90AB1', 'HTT', 'KRTAP10-8', 'LMNA', 'MAPK6', 'MDFI', 'POM121', 'PPP2CA', 'SNW1', 'SPINK2', 'SPRED1', 'UBE2I', 'UBQLN2', 'VCAM1', 'WFS1', 'YWHAG', 'YWHAH', 'YWHAQ', 'YWHAZ']"
134,6,0,17064,0.9571428571428572,1.0,0.9781021897810218,0.9781648262517384,"['ADRB2', 'CUL3', 'HTT', 'NR3C2', 'TERF1', 'VCAM1']"
149,8,2,17045,0.9490445859872612,0.9867549668874173,0.9675324675324676,0.9674262370496777,"['ADRB2', 'APP', 'CUL3', 'GRB2', 'HTT', 'MEOX2', 'VCAM1', 'ZFYVE9']"
46,1,24,17133,0.9787234042553191,0.6571428571428571,0.7863247863247863,0.8013643444334967,['TNC']
50,0,0,17154,1.0,1.0,1.0,1.0,[]
225,24,6,16949,0.9036144578313253,0.974025974025974,0.9375,0.9372950689203211,"['APP', 'BRCA1', 'CAND1', 'CFTR', 'CLEC2D', 'COPS5', 'CUL1', 'GAPDHS', 'GRB2', 'H2BC9', 'HIF1A', 'HSCB', 'HSP90AB1', 'HTT', 'LGALS8', 'MAPK14', 'MEOX2', 'MLH1', 'NEK4', 'PRSS33', 'PSMD2', 'SGTB', 'TEAD3', 'YWHAG']"
138,7,0,17059,0.9517241379310345,1.0,0.9752650176678445,0.9753634025729717,"['ALX1', 'ASF1A', 'HTT', 'NUDT15', 'PLRG1', 'RANBP9', 'TK1']"
63,0,0,17141,1.0,1.0,1.0,1.0,[]
48,0,3,17153,1.0,0.9411764705882353,0.9696969696969697,0.9700576739986421,[]
121,2,1,17080,0.983739837398374,0.9918032786885246,0.9877551020408164,0.9876756348737152,"['LMO2', 'PYCARD']"
88,1,1,17114,0.9887640449438202,0.9887640449438202,0.9887640449438202,0.988705616664533,['TRAF2']
52,0,0,17152,1.0,1.0,1.0,1.0,[]
160,8,4,17032,0.9523809523809523,0.975609756097561,0.963855421686747,0.9635746268675479,"['APP', 'CDC5L', 'CUL3', 'GRB2', 'HTT', 'TERF2IP', 'TLE1', 'VCAM1']"
173,9,2,17020,0.9505494505494505,0.9885714285714285,0.9691876750700279,0.9690549845489089,"['BCKDHA', 'BUD31', 'CUL3', 'GRB2', 'H2BC9', 'HSPB1', 'HTT', 'NPM1', 'PIK3R1']"
63,2,1,17138,0.9692307692307692,0.984375,0.9767441860465116,0.9766862416864274,"['APP', 'ICAM1']"
80,0,1,17123,1.0,0.9876543209876543,0.9937888198757764,0.9937789715900893,[]
52,1,0,17151,0.9811320754716981,1.0,0.9904761904761905,0.9904922378671797,['STAT3']
