tp,fp,fn,tn,precision,recall,f_measure,mcc,new_proteins
168,16,2,17018,0.9130434782608695,0.9882352941176471,0.9491525423728814,0.9493830388740928,"['ATP12A', 'BUD31', 'CCL11', 'CCL26', 'CCL8', 'CXCL14', 'CXCL17', 'CYSRT1', 'DRD2', 'GJA8', 'MEOX2', 'PF4V1', 'TNFAIP6', 'UBQLN2', 'XCL1', 'XCL2']"
70,0,0,17134,1.0,1.0,1.0,1.0,[]
80,0,0,17124,1.0,1.0,1.0,1.0,[]
67,0,3,17134,1.0,0.9571428571428572,0.9781021897810218,0.978251143569038,[]
69,0,1,17134,1.0,0.9857142857142858,0.9928057553956835,0.9928024775090132,[]
72,0,0,17132,1.0,1.0,1.0,1.0,[]
93,0,0,17111,1.0,1.0,1.0,1.0,[]
72,0,0,17132,1.0,1.0,1.0,1.0,[]
80,0,1,17123,1.0,0.9876543209876543,0.9937888198757764,0.9937789715900893,[]
51,1,0,17152,0.9807692307692307,1.0,0.9902912621359222,0.9903090694631214,['NCOA1']
42,0,11,17151,1.0,0.7924528301886793,0.8842105263157896,0.8899128647253925,[]
71,7,0,17126,0.9102564102564102,1.0,0.953020134228188,0.9538786654384521,"['AP2M1', 'ASF1A', 'DAXX', 'DNAJC9', 'H3-4', 'NASP', 'NEK4']"
57,6,0,17141,0.9047619047619048,1.0,0.9500000000000001,0.9510232986654565,"['AP2M1', 'ASF1A', 'DAXX', 'DNAJC9', 'NASP', 'NEK4']"
57,6,0,17141,0.9047619047619048,1.0,0.9500000000000001,0.9510232986654565,"['AP2M1', 'ASF1A', 'DAXX', 'DNAJC9', 'NASP', 'NEK4']"
55,6,4,17139,0.9016393442622951,0.9322033898305084,0.9166666666666666,0.9165032941246067,"['AP2M1', 'ASF1A', 'DAXX', 'DNAJC9', 'NASP', 'NEK4']"
